,,,Independent Variable,Independent Variable,Independent Variable,Distance moved,Velocity,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2
,,,Independent Variable,Independent Variable,Independent Variable,center-point,center-point,Arena / center-point,Arena / center-point,Arena / center-point,neutral zone / center-point,neutral zone / center-point,neutral zone / center-point,hot zone / center-point,hot zone / center-point,hot zone / center-point,inner circle / center-point,inner circle / center-point,inner circle / center-point
,,,mouse id,test,treatment,Total,Mean,Frequency,Cumulative Duration,Latency to First,Frequency,Cumulative Duration,Latency to First,Frequency,Cumulative Duration,Latency to First,Frequency,Cumulative Duration,Latency to First
,,,,,,cm,cm/s,,s,s,,s,s,,s,s,,s,s
Result 1,Trial    20,0:09:00-0:10:00,579,test2,saline,362.6,6.04333,1,60,540,0,0,-,0,0,-,5,9.96,541.44
Result 1,Trial    20,0:10:00-0:11:00,579,test2,saline,123.806,2.06343,1,60,600,0,0,-,0,0,-,0,0,-
Result 1,Trial    20,0:11:00-0:12:00,579,test2,saline,211.038,3.51731,1,60,660,0,0,-,0,0,-,2,2.56,707.88
Result 1,Trial    20,0:12:00-0:13:00,579,test2,saline,407.813,6.79688,1,60,720,0,0,-,0,0,-,3,6.96,720
Result 1,Trial    20,0:13:00-0:14:00,579,test2,saline,439.542,7.32569,1,60,780,0,0,-,0,0,-,3,6.92,786.2
Result 1,Trial    20,0:14:00-0:15:00,579,test2,saline,266.1,4.43499,1,60,840,0,0,-,0,0,-,2,3.72,856.04
Result 1,Trial    20,0:15:00-0:16:00,579,test2,saline,217.129,3.61882,1,60,900,0,0,-,0,0,-,1,1.08,938.72
Result 1,Trial    20,0:16:00-0:17:00,579,test2,saline,129.036,2.1506,1,60,960,0,0,-,0,0,-,0,0,-
Result 1,Trial    20,0:17:00-0:18:00,579,test2,saline,77.719,1.29532,1,60,1020,0,0,-,0,0,-,0,0,-
Result 1,Trial    20,0:18:00-0:19:00,579,test2,saline,69.8053,1.16342,1,60,1080,0,0,-,0,0,-,0,0,-
Result 1,Trial    20,0:19:00-0:20:00,579,test2,saline,267.191,4.45318,1,60,1140,0,0,-,0,0,-,3,5.32,1160.4
Result 1,Trial    21,Start-0:01:00,580,test2,saline,801.412,13.3658,1,60,0,0,0,-,0,0,-,5,6.68,0
Result 1,Trial    21,0:01:00-0:02:00,580,test2,saline,457.857,7.63095,1,60,60,0,0,-,0,0,-,3,2.6,63.72
Result 1,Trial    21,0:02:00-0:03:00,580,test2,saline,416.478,6.9413,1,60,120,0,0,-,0,0,-,1,4.4,163.52
Result 1,Trial    21,0:03:00-0:04:00,580,test2,saline,289.59,4.8265,1,60,180,0,0,-,0,0,-,1,1.92,195.76
Result 1,Trial    21,0:04:00-0:05:00,580,test2,saline,295.38,4.923,1,60,240,0,0,-,0,0,-,2,1.04,273.64
Result 1,Trial    21,0:05:00-0:06:00,580,test2,saline,432.026,7.20044,1,60,300,0,0,-,0,0,-,3,16.96,308.68
Result 1,Trial    21,0:06:00-0:07:00,580,test2,saline,326.363,5.43938,1,60,360,0,0,-,0,0,-,1,18.76,380.56
Result 1,Trial    21,0:07:00-0:08:00,580,test2,saline,300.48,5.00799,1,60,420,0,0,-,0,0,-,1,16.16,463.52
Result 1,Trial    21,0:08:00-0:09:00,580,test2,saline,215.13,3.5855,1,60,480,0,0,-,0,0,-,1,0.04,486.44
Result 1,Trial    21,0:09:00-0:10:00,580,test2,saline,133.056,2.2176,1,60,540,0,0,-,0,0,-,1,3.52,566.44
Result 1,Trial    21,0:10:00-0:11:00,580,test2,saline,296.352,4.93921,1,60,600,0,0,-,0,0,-,2,14.52,625.12
Result 1,Trial    21,0:11:00-0:12:00,580,test2,saline,347.554,5.79257,1,60,660,0,0,-,0,0,-,1,13.2,660
Result 1,Trial    21,0:12:00-0:13:00,580,test2,saline,212.819,3.54698,1,60,720,0,0,-,0,0,-,1,5.8,742.96
Result 1,Trial    21,0:13:00-0:14:00,580,test2,saline,144.427,2.40711,1,60,780,0,0,-,0,0,-,0,0,-
Result 1,Trial    21,0:14:00-0:15:00,580,test2,saline,280.607,4.67678,1,60,840,0,0,-,0,0,-,1,8.12,886.52
Result 1,Trial    21,0:15:00-0:16:00,580,test2,saline,368.454,6.14089,1,60,900,0,0,-,0,0,-,1,2.6,927.08
Result 1,Trial    21,0:16:00-0:17:00,580,test2,saline,354.503,5.90838,1,60,960,0,0,-,0,0,-,2,9.32,976.68
Result 1,Trial    21,0:17:00-0:18:00,580,test2,saline,214.495,3.57492,1,60,1020,0,0,-,0,0,-,1,0.32,1051.68
Result 1,Trial    21,0:18:00-0:19:00,580,test2,saline,206.325,3.43875,1,60,1080,0,0,-,0,0,-,1,2.76,1137.24
Result 1,Trial    21,0:19:00-0:20:00,580,test2,saline,323.275,5.38792,1,60,1140,0,0,-,0,0,-,5,36.08,1140
Result 1,Trial    22,Start-0:01:00,581,test2,saline,769.879,12.8399,1,60,0,0,0,-,0,0,-,2,3.2,30.68
